"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes","Value Footnotes"
"Belize","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2017","100","Belize dollar                           ","1993","Western calendar year","248401000","",""
"Belize","2.1","Industries","Education","M","2017","100","Belize dollar                           ","1993","Western calendar year","171673000","",""
"Belize","2.1","Industries","Health and social work","N","2017","100","Belize dollar                           ","1993","Western calendar year","11027000","",""
"Belize","2.1","Industries","Other community, social and personal services","O","2017","100","Belize dollar                           ","1993","Western calendar year","65701000","",""
"Belize","2.1","Industries","Private households with employed persons","P","2017","100","Belize dollar                           ","1993","Western calendar year","18761000","",""
"Belize","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2017","100","Belize dollar                           ","1993","Western calendar year","3107514000","7","7"
"Belize","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","2017","100","Belize dollar                           ","1993","Western calendar year","139236000","",""
"Belize","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2017","100","Belize dollar                           ","1993","Western calendar year","617716000","",""
"Belize","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2017","100","Belize dollar                           ","1993","Western calendar year","3725230000","",""
"Bermuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2017","200","Bermuda dollar","1993","Western calendar year","47098186","",""
"Bermuda","2.1","Industries","Agriculture, hunting, forestry","A","2017","200","Bermuda dollar","1993","Western calendar year","41264621","",""
"Bermuda","2.1","Industries","Agriculture, hunting and related service activities","01","2017","200","Bermuda dollar","1993","Western calendar year","41264621","",""
"Bermuda","2.1","Industries","Fishing","B","2017","200","Bermuda dollar","1993","Western calendar year","5833565","",""
"Bermuda","2.1","Industries","Manufacturing","D","2017","200","Bermuda dollar","1993","Western calendar year","48051745","",""
"Bermuda","2.1","Industries","Electricity, gas and water supply","E","2017","200","Bermuda dollar","1993","Western calendar year","103794528","",""
"Bermuda","2.1","Industries","Construction","F","2017","200","Bermuda dollar","1993","Western calendar year","214937167","8","8"
"Bermuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2017","200","Bermuda dollar","1993","Western calendar year","798368390","",""
"Bermuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2017","200","Bermuda dollar","1993","Western calendar year","455309891","",""
"Bermuda","2.1","Industries","Hotels and restaurants","H","2017","200","Bermuda dollar","1993","Western calendar year","343058499","",""
"Bermuda","2.1","Industries","Transport, storage and communications","I","2017","200","Bermuda dollar","1993","Western calendar year","289052798","",""
"Bermuda","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2017","200","Bermuda dollar","1993","Western calendar year","115881710","",""
"Bermuda","2.1","Industries","Post and telecommunications","64","2017","200","Bermuda dollar","1993","Western calendar year","173171088","",""
"Bermuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2017","200","Bermuda dollar","1993","Western calendar year","3965078845","",""
"Bermuda","2.1","Industries","Financial intermediation","J","2017","200","Bermuda dollar","1993","Western calendar year","736795821","",""
"Bermuda","2.1","Industries","Real estate, renting and business activities","K","2017","200","Bermuda dollar","1993","Western calendar year","3228283024","",""
"Bermuda","2.1","Industries","Public administration and defence; compulsory social security","L","2017","200","Bermuda dollar","1993","Western calendar year","333017539","",""
"Bermuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2017","200","Bermuda dollar","1993","Western calendar year","683194523","",""
"Bermuda","2.1","Industries","Education","M","2017","200","Bermuda dollar","1993","Western calendar year","140127909","",""
"Bermuda","2.1","Industries","Health and social work","N","2017","200","Bermuda dollar","1993","Western calendar year","392033580","",""
"Bermuda","2.1","Industries","Other community, social and personal services","O","2017","200","Bermuda dollar","1993","Western calendar year","151033034","",""
"Bermuda","2.1","Industries","Private households with employed persons","P","2017","200","Bermuda dollar","1993","Western calendar year","15966166","",""
"Bermuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2017","200","Bermuda dollar","1993","Western calendar year","6498559887","",""
"Bermuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","2017","200","Bermuda dollar","1993","Western calendar year","452891843","",""
"Bermuda","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2017","200","Bermuda dollar","1993","Western calendar year","223716000","",""
"Bermuda","2.1","Industries","Plus: Taxes on products","D.21","2017","200","Bermuda dollar","1993","Western calendar year","223716000","",""
"Bermuda","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2017","200","Bermuda dollar","1993","Western calendar year","6269384044","",""
"Bhutan","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2017","200","ngultrum","1993","Western calendar year","28591136099.4076","",""
"Bhutan","2.1","Industries","Agriculture, hunting, forestry","A","2017","200","ngultrum","1993","Western calendar year","28591136099.4076","",""
"Bhutan","2.1","Industries","Agriculture, hunting and related service activities","01","2017","200","ngultrum","1993","Western calendar year","24570688240.4163","",""
"Bhutan","2.1","Industries","Forestry, logging and related service activities","02","2017","200","ngultrum","1993","Western calendar year","4020447858.99134","",""
"Bhutan","2.1","Industries","Mining and quarrying","C","2017","200","ngultrum","1993","Western calendar year","6954622656.28456","",""
"Bhutan","2.1","Industries","Manufacturing","D","2017","200","ngultrum","1993","Western calendar year","11938229181.1774","",""
